Make,Model,Year,Fuel,HP,Cylinders,Trans,DT,Doors,MCAT,Size,Style,Highway,City,Popularity,MSRP
BMW,1 Series M,2011,PQ,335,6,M,R,2,"Factory Tuner,Luxury,High-Performance",C,COU,26,19,3916,46135
BMW,1 Series,2011,PQ,300,6,M,R,2,"Luxury,Performance",C,CON,28,19,3916,40650
BMW,1 Series,2011,PQ,300,6,M,R,2,"Luxury,High-Performance",C,COU,28,20,3916,36350
BMW,1 Series,2011,PQ,230,6,M,R,2,"Luxury,Performance",C,COU,28,18,3916,29450
BMW,1 Series,2011,PQ,230,6,M,R,2,Luxury,C,CON,28,18,3916,34500
BMW,1 Series,2012,PQ,230,6,M,R,2,"Luxury,Performance",C,COU,28,18,3916,31200
BMW,1 Series,2012,PQ,300,6,M,R,2,"Luxury,Performance",C,CON,26,17,3916,44100
BMW,1 Series,2012,PQ,300,6,M,R,2,"Luxury,High-Performance",C,COU,28,20,3916,39300
BMW,1 Series,2012,PQ,230,6,M,R,2,Luxury,C,CON,28,18,3916,36900
BMW,1 Series,2013,PQ,230,6,M,R,2,Luxury,C,CON,27,18,3916,37200
BMW,1 Series,2013,PQ,300,6,M,R,2,"Luxury,High-Performance",C,COU,28,20,3916,39600
BMW,1 Series,2013,PQ,230,6,M,R,2,"Luxury,Performance",C,COU,28,19,3916,31500
BMW,1 Series,2013,PQ,300,6,M,R,2,"Luxury,Performance",C,CON,28,19,3916,44400
BMW,1 Series,2013,PQ,230,6,M,R,2,Luxury,C,CON,28,19,3916,37200
BMW,1 Series,2013,PQ,230,6,M,R,2,"Luxury,Performance",C,COU,28,19,3916,31500
BMW,1 Series,2013,PQ,320,6,M,R,2,"Luxury,High-Performance",C,CON,25,18,3916,48250
BMW,1 Series,2013,PQ,320,6,M,R,2,"Luxury,High-Performance",C,COU,28,20,3916,43550
AUDI,100,1992,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1992,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1992,R,172,6,A,A,4,Luxury,M,W,20,16,3105,2000
AUDI,100,1992,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1992,R,172,6,M,A,4,Luxury,M,S,21,16,3105,2000
AUDI,100,1993,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1993,R,172,6,A,A,4,Luxury,M,W,20,16,3105,2000
AUDI,100,1993,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1993,R,172,6,M,F,4,Luxury,M,S,24,17,3105,2000
AUDI,100,1993,R,172,6,M,A,4,Luxury,M,S,21,16,3105,2000
AUDI,100,1994,R,172,6,A,F,4,Luxury,M,W,21,16,3105,2000
AUDI,100,1994,R,172,6,M,A,4,Luxury,M,S,22,16,3105,2000
AUDI,100,1994,R,172,6,M,F,4,Luxury,M,S,22,17,3105,2000
AUDI,100,1994,R,172,6,A,F,4,Luxury,M,S,22,16,3105,2000
AUDI,100,1994,R,172,6,A,A,4,Luxury,M,W,21,16,3105,2000
FIAT,124 Spider,2017,PC,160,4,M,R,2,Performance,C,CON,35,26,819,27495
FIAT,124 Spider,2017,PC,160,4,M,R,2,Performance,C,CON,35,26,819,24995
FIAT,124 Spider,2017,PC,160,4,M,R,2,Performance,C,CON,35,26,819,28195
MB,190-Class,1991,R,130,4,M,R,4,Luxury,C,S,26,18,617,2000
MB,190-Class,1991,R,158,6,M,R,4,Luxury,C,S,25,17,617,2000
MB,190-Class,1992,R,158,6,M,R,4,Luxury,C,S,25,17,617,2000
MB,190-Class,1992,R,130,4,M,R,4,Luxury,C,S,26,18,617,2000
MB,190-Class,1993,R,130,4,M,R,4,Luxury,C,S,26,18,617,2000
MB,190-Class,1993,R,158,6,M,R,4,Luxury,C,S,25,17,617,2000
BMW,2 Series,2016,PQ,240,4,A,R,2,"Luxury,Performance",C,COU,35,23,3916,32850
BMW,2 Series,2016,PQ,240,4,A,R,2,Luxury,C,CON,34,23,3916,38650
BMW,2 Series,2016,PQ,320,6,A,R,2,"Factory Tuner,Luxury,High-Performance",C,CON,31,20,3916,48750
BMW,2 Series,2016,PQ,240,4,A,A,2,"Luxury,Performance",C,COU,35,23,3916,34850
BMW,2 Series,2016,PQ,240,4,A,A,2,Luxury,C,CON,34,22,3916,40650
BMW,2 Series,2016,PQ,320,6,A,R,2,"Factory Tuner,Luxury,High-Performance",C,COU,31,20,3916,44150
BMW,2 Series,2016,PQ,240,4,M,R,2,"Luxury,Performance",C,COU,34,22,3916,32850
BMW,2 Series,2016,PQ,320,6,A,A,2,"Factory Tuner,Luxury,High-Performance",C,COU,30,20,3916,46150
BMW,2 Series,2016,PQ,320,6,A,R,2,"Factory Tuner,Luxury,High-Performance",C,CON,30,20,3916,50750
BMW,2 Series,2017,PC,335,6,A,A,2,"Factory Tuner,Luxury,High-Performance",C,COU,31,21,3916,46450
BMW,2 Series,2017,PC,335,6,A,R,2,"Factory Tuner,Luxury,High-Performance",C,CON,32,21,3916,49050
BMW,2 Series,2017,PC,335,6,A,A,2,"Factory Tuner,Luxury,High-Performance",C,CON,32,21,3916,51050
BMW,2 Series,2017,PC,335,6,A,R,2,"Factory Tuner,Luxury,High-Performance",C,COU,32,21,3916,44450
BMW,2 Series,2017,PC,248,4,A,R,2,"Luxury,Performance",C,CON,34,23,3916,38950
BMW,2 Series,2017,PC,248,4,A,R,2,"Luxury,Performance",C,COU,35,24,3916,33150
BMW,2 Series,2017,PC,248,4,A,A,2,"Luxury,Performance",C,COU,33,24,3916,35150
BMW,2 Series,2017,PC,248,4,A,A,2,Luxury,C,CON,33,23,3916,40950
AUDI,200,1990,R,162,5,A,F,4,Luxury,M,S,20,16,3105,2000
AUDI,200,1990,R,162,5,M,A,4,Luxury,M,W,22,15,3105,2000
AUDI,200,1990,R,162,5,M,A,4,Luxury,M,S,23,15,3105,2000
AUDI,200,1991,R,217,5,M,A,4,"Luxury,Performance",M,S,22,16,3105,2000
AUDI,200,1991,R,217,5,M,A,4,"Luxury,Performance",M,W,22,16,3105,2000
AUDI,200,1991,R,162,5,A,F,4,Luxury,M,S,20,16,3105,2000
CHR,200,2015,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,25170
CHR,200,2015,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,23950
CHR,200,2015,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,29,18,1013,29370
